train/reward,time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/std,train/explained_variance,train/clip_range,train/entropy_loss,train/n_updates,train/approx_kl,train/loss
0.15443073,2048,3,1,522,,,,,,,,,,,
0.09121405,4096,8,2,504,0.0003,0.19814453125,-0.03870520544587634,0.418129351362586,1.004451870918274,-0.2667233943939209,0.2,-34.10839297771454,10,0.016234625,-0.22267335653305054
-0.11989356,6144,12,3,504,0.0003,0.1857421875,-0.030363003734964877,0.50060033518821,1.0067360401153564,0.0019806623458862305,0.2,-34.18912854194641,20,0.017592635,-0.1803983896970749
0.12806219,8192,16,4,503,0.0003,0.246533203125,-0.033391894574742766,0.37734382059425114,1.0079057216644287,-0.10914301872253418,0.2,-34.2328542470932,30,0.022222433,-0.20159697532653809
-0.028937116,10240,20,5,500,0.0003,0.237744140625,-0.027098567836219445,0.4090252103284001,1.0114784240722656,-0.04308927059173584,0.2,-34.2839973449707,40,0.021589126,-0.23021300137043
0.12183919,12288,24,6,500,0.0003,0.27841796875,-0.034170105110388246,0.41507814489305017,1.014958143234253,-0.009097933769226074,0.2,-34.36807434558868,50,0.026701018,-0.17731893062591553
0.47724196,14336,28,7,502,0.0003,0.3087890625,-0.03100287378183566,0.4378593971952796,1.0172926187515259,0.019439637660980225,0.2,-34.43633229732514,60,0.030306146,-0.1860409379005432
-0.32001114,16384,32,8,503,0.0003,0.293359375,-0.031228307553101332,0.556341876462102,1.0184674263000488,-0.08653533458709717,0.2,-34.48033196926117,70,0.030017756,-0.1128355860710144
-0.17514013,18432,36,9,505,0.0003,0.336328125,-0.028457607328891753,0.5879524268209935,1.0212033987045288,-0.018590331077575684,0.2,-34.52079291343689,80,0.034422833,-0.06399554014205933
-0.105204664,20480,40,10,506,0.0003,0.29072265625,-0.026993813406443225,0.5562633337453008,1.0258829593658447,-0.05213487148284912,0.2,-34.61151099205017,90,0.027692623,-0.11782136559486389
0.16426662,22528,44,11,505,0.0003,0.32001953125,-0.026767764537362383,0.565376703441143,1.0274322032928467,0.033025920391082764,0.2,-34.680196452140805,100,0.032000586,-0.15707391500473022
-0.18657959,24576,48,12,504,0.0003,0.339599609375,-0.016502262803260236,0.5458706671372056,1.0311940908432007,-0.14025413990020752,0.2,-34.74745976924896,110,0.03653419,-0.08126384019851685
0.13157292,26624,52,13,505,0.0003,0.36171875,-0.02136889101820998,0.6031745882704854,1.0341414213180542,0.0797950029373169,0.2,-34.81581089496613,120,0.039228775,-0.06693044304847717
-0.026081964,28672,56,14,505,0.0003,0.32177734375,-0.022132320486707612,0.5733888687565922,1.0363318920135498,0.06492805480957031,0.2,-34.88082709312439,130,0.03285545,-0.09512773156166077
0.028917503,30720,60,15,505,0.0003,0.29208984375,-0.024090384953888135,0.4726557759568095,1.0369336605072021,0.15203255414962769,0.2,-34.90530619621277,140,0.030824564,-0.1693788468837738
-0.27852547,32768,64,16,504,0.0003,0.34833984375,-0.01893432365905028,0.5631986664608121,1.0399346351623535,0.14991068840026855,0.2,-34.956532907485965,150,0.035068415,-0.14169654250144958
0.013003434,34816,69,17,504,0.0003,0.32197265625,-0.020672874004230835,0.616154070198536,1.041801929473877,0.21491318941116333,0.2,-35.01005620956421,160,0.03348447,-0.006352156400680542
-0.004557664,36864,73,18,502,0.0003,0.324755859375,-0.014905845356406645,0.647063416801393,1.045328140258789,-0.07189333438873291,0.2,-35.07900171279907,170,0.032522168,0.0024376213550567627
-0.23244855,38912,77,19,502,0.0003,0.331103515625,-0.015316123218508438,0.6355710813775659,1.0474153757095337,0.0754387378692627,0.2,-35.14162480831146,180,0.03858176,-0.06980234384536743
-0.1668932,40960,81,20,502,0.0003,0.34072265625,-0.020766051948885433,0.5876069976016879,1.0497932434082031,0.3074812889099121,0.2,-35.18552556037903,190,0.04154016,-0.13498955965042114
0.0054445122,43008,85,21,502,0.0003,0.267724609375,-0.018632376519963145,0.727014297991991,1.0505155324935913,0.09428608417510986,0.2,-35.22033538818359,200,0.026475925,-0.030662894248962402
-0.04232493,45056,89,22,502,0.0003,0.320703125,-0.015317899856017902,0.6787144783884287,1.0546798706054688,0.2385382056236267,0.2,-35.27213213443756,210,0.031701818,-0.05580684542655945
0.23803951,47104,93,23,502,0.0003,0.311474609375,-0.014082844322547316,0.5144004575908184,1.0572980642318726,0.43453502655029297,0.2,-35.35456080436707,220,0.031883605,-0.14999306201934814
-0.1671467,49152,97,24,502,0.0003,0.3044921875,-0.019578601908870043,0.6880205228924752,1.0588476657867432,0.31382232904434204,0.2,-35.39923644065857,230,0.03353667,-0.09571453928947449
-0.14753053,51200,102,25,501,0.0003,0.321533203125,-0.014984109194483609,0.8986919526010752,1.0600640773773193,0.14477235078811646,0.2,-35.43645162582398,240,0.030514002,0.1531432867050171
-0.024998827,53248,106,26,501,0.0003,0.315771484375,-0.0211288042308297,0.7439237283542752,1.062375783920288,0.3556325435638428,0.2,-35.47529213428497,250,0.029921398,-0.07775241136550903
0.19256178,55296,110,27,500,0.0003,0.265185546875,-0.015045262046623976,0.7933448009192944,1.062753677368164,0.08022677898406982,0.2,-35.50451455116272,260,0.02404144,-0.015853554010391235
0.4851063,57344,114,28,500,0.0003,0.311767578125,-0.015204324727528728,0.9471043702214956,1.0667245388031006,0.2573598623275757,0.2,-35.555439949035645,270,0.037176706,0.0582960844039917
0.055751693,59392,119,29,499,0.0003,0.3828125,-0.008898997795768082,0.7131695479154587,1.065519094467163,0.2513916492462158,0.2,-35.58273212909698,280,0.043893337,0.009003937244415283
-0.0735476,61440,123,30,498,0.0003,0.2734375,-0.010861399199347943,0.9576121903955936,1.0656687021255493,0.16702967882156372,0.2,-35.56676359176636,290,0.02574262,0.07627370953559875
-0.331218,63488,127,31,497,0.0003,0.29765625,-0.015169641037937253,0.9087188068777323,1.0668855905532837,0.08950591087341309,0.2,-35.58511035442352,300,0.0318342,0.08319562673568726
